123-1CON	123-2CON	123-3NO0	123-4NO7	126-1CON	126-2CON	126-3NO0	126-4NO7	CONTROL7	CONTROLZ	NO_7_5	NO_ZERO
2693.64	2541.9	2744.58	2003.3	2139.81	1724.95	2433.41	1683.28	2180.25	3151.68	2863.74	3111.11
1669.63	1746.73	1761.68	2115.88	2032.56	2268.5	2002.18	2051.54	1847.65	1697.75	1779.63	1560.34
1389.98	1874.81	1986.46	3019.38	2262.43	2861.16	2069.42	2312.92	3228.33	2438.49	3311.56	2577.11
2134.59	3099.05	3094.33	3774.1	3673.99	4054.73	3591.37	3689.98	3965.84	3554.93	4034.47	3704.76
4039.08	5247.21	4136.58	4000.46	4997.78	4867.74	5454.78	5155.81	3414.49	3532.52	3348.51	3538.26
6978.85	8824.01	9296.92	9652.76	8700.27	9298.83	9046.31	8196.44	8998.24	8321.12	9942.23	8517.58
8349.52	8170.53	8003.9	8672.85	8290.54	8216	8427.95	8282.11	7661.1	7312.63	8119.86	7033.29
784.246	814.459	1071.06	871.15	1341.02	918.249	1324.87	1246.66	779.75	921.526	508.265	951.133
6097.55	4264.68	4869.84	5376.49	5916.96	5292.29	5678.93	6355.75	5142.54	5980.55	4999.38	5195.28
5728.54	6415.17	7265.82	8039.62	7420.44	7726.69	7283.32	8075.8	7069.53	6781.12	6833.49	6262.49
1814.42	1952.92	2235.71	3309.41	3053.2	3225.81	3072.55	3156.34	3175.32	2788.52	3560.98	2750.77
7421.28	8418.53	8722.87	6904.92	5953.17	5984.93	6407.74	5564.29	6322.79	5983.8	6956.45	6375.6
9885.71	10677.3	11902.1	11736.3	10449.8	10569.7	10904.1	10605.5	11149.1	10457	11538.8	10769.3
3012.14	3225.08	3534.77	4553.98	3651.85	4334.78	3884.95	4379.31	5059.67	5174.31	4945.74	4829.58
3289.35	3334.66	3256.74	2819.15	3285.11	3068.43	3741.27	2865.01	2030.37	2138.01	1847.66	1834.48
1399.91	1742.31	1832.9	1884.34	1798.19	1824.35	1881.68	1961.64	1889.15	1846.68	1818.2	1764.96
6577.97	6662.63	7760.92	8613.53	7449.44	7248.76	7373.77	8008.4	8079.04	7950.26	7956.44	7856.38
605.745	834.343	763.117	603.474	343.649	440.957	337.51	423.133	675.587	657.138	448.493	642.128
112.443	211.853	219.759	261.265	58.8475	173.826	113.308	140.746	277.889	311.155	119.679	261.966
204.582	188.738	228.239	210.789	216.459	200.853	190.169	205.273	192.631	149.656	197.241	174.621
902.492	750.201	783.082	774.12	877.723	808.19	904.151	853.057	785.825	652.822	777.399	725.427
40.408	39.8657	64.0312	36.9948	96.2578	78.2478	66.9843	71.3763	57.4545	44.6188	51.8175	61.2813
792.357	660.864	627.788	657.028	585.519	564.669	619.999	475.788	701.585	526.107	629.96	669.026
191.907	118.263	149.213	150.443	173.403	105.399	163.14	175.898	137.933	105.097	128.744	105.237
91.3245	80.7323	91.6378	84.7064	102.312	72.6287	73.1658	72.1003	120.738	78.4822	143.94	80.084
39.9439	92.7804	63.552	101.372	45.8087	4.94982	44.53	41.9293	77.5826	35.8198	38.7259	13.0423
167.722	162.202	123.428	168.479	197.626	157.679	174.365	167.041	178.043	173.537	-31.3277	220.523
